example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc
CHEBI:230905|CHEBI:6413||MONDO:0000618,"['CHEBI:230905', 'CHEBI:6413']",MONDO:0000618,1,indications,"['Letrozole', 'Ribociclib']",Her2-receptor negative breast cancer,mechanistically_synergistic,0.9,False,Letrozole (aromatase inhibitor) and Ribociclib (CDK4/6 inhibitor) are combined to target hormone receptor-positive breast cancer mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:46195|UNII:FZG87K1MQ6||HP:0100607,"['CHEBI:46195', 'UNII:FZG87K1MQ6']",HP:0100607,1,indications,"['pamabrom', 'Acetaminophen']",Dysmenorrhea,mechanistically_synergistic,0.9,False,Pamabrom is a diuretic used to relieve bloating and acetaminophen is an analgesic; both address symptoms of dysmenorrhea.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:41879|CHEBI:85155|CHEBI:85157||MONDO:0025598,"['CHEBI:41879', 'CHEBI:85155', 'CHEBI:85157']",MONDO:0025598,1,indications,"['Netupitant', 'palonosetron hydrochloride', 'Dexamethasone']",pneumonia caused by chlamydia,other,0.7,True,"Drugs are primarily used for nausea and inflammation, not directly targeting pneumonia caused by chlamydia; unclear mechanistic synergy.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3485|CHEBI:48947||UMLS:C0856695,"['CHEBI:3485', 'CHEBI:48947']",UMLS:C0856695,1,indications,"['Cefdinir', 'Clavulanic acid']",Acute exacerbation of chronic bronchitis,mechanistically_synergistic,0.95,False,"Cefdinir is an antibiotic and clavulanic acid inhibits beta-lactamase, enhancing antibiotic efficacy for bronchitis treatment.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3614|CHEBI:6456|CHEBI:9667||UMLS:C0555971,"['CHEBI:3614', 'CHEBI:6456', 'CHEBI:9667']",UMLS:C0555971,1,indications,"['Triamcinolone', 'Chlorhexidine', 'Lidocaine']",Oral infection,mechanistically_synergistic,0.9,False,"Triamcinolone (anti-inflammatory), Chlorhexidine (antiseptic), and Lidocaine (local anesthetic) are used together to treat oral infections by targeting infection, inflammation, and pain.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:164200|CHEBI:34393|CHEBI:4735||MONDO:0021201,"['CHEBI:164200', 'CHEBI:34393', 'CHEBI:4735']",MONDO:0021201,1,indications,"['Chloroxylenol', 'Triclosan', 'Edetic acid']",skin infection,mechanistically_synergistic,0.9,False,All three drugs are antimicrobial agents commonly used together to treat skin infections by targeting pathogens.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:29888|CHEBI:78067||MONDO:0006716,"['CHEBI:29888', 'CHEBI:78067']",MONDO:0006716,1,indications,"['Pyrophosphate', 'Stannous chloride']",coronary thrombosis,other,0.6,True,Pyrophosphate and stannous chloride are not commonly used together for coronary thrombosis treatment; unclear mechanistic synergy or side effect relief.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:36773|UNII:2R04ONI662||HP:0410339,"['CHEBI:36773', 'UNII:2R04ONI662']",HP:0410339,1,indications,"['camphor', 'Eucalyptus oil']",Insect bite allergy,mechanistically_synergistic,0.85,False,"Both camphor and eucalyptus oil are used topically to relieve symptoms of insect bite allergy, acting synergistically to reduce inflammation and itching.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:33118|CHEBI:33130|CHEBI:36560|UNII:8P5F881OCY||MONDO:0002406,"['CHEBI:33118', 'CHEBI:33130', 'CHEBI:36560', 'UNII:8P5F881OCY']",MONDO:0002406,1,indications,"['Balsam of Peru', 'algeldrate', 'Zinc oxide', 'Boric acid']",dermatitis,mechanistically_synergistic,0.8,False,All drugs are topical agents commonly used together to treat dermatitis by targeting inflammation and skin barrier protection.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:4470|CHEBI:46195|CHEBI:52010|UNII:S3V868548T||MONDO:0005709,"['CHEBI:4470', 'CHEBI:46195', 'CHEBI:52010', 'UNII:S3V868548T']",MONDO:0005709,1,indications,"['chlorphenamine', 'Acetaminophen', 'Terpin hydrate', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.9,False,"All drugs are commonly used together to treat symptoms of the common cold, targeting different symptoms synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:52010|CHEBI:5779||MONDO:0005709,"['CHEBI:52010', 'CHEBI:5779']",MONDO:0005709,1,indications,"['Hydrocodone', 'chlorphenamine']",common cold,side_effect_relief,0.9,False,Hydrocodone is an opioid pain reliever and cough suppressant; chlorphenamine is an antihistamine used to relieve allergy symptoms and reduce cold-related side effects.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:47381|CHEBI:8768||MONDO:0008383,"['CHEBI:47381', 'CHEBI:8768']",MONDO:0008383,1,indications,"['Diclofenac', 'Rabeprazole']",rheumatoid arthritis,side_effect_relief,0.95,False,Diclofenac is an NSAID used to treat rheumatoid arthritis; Rabeprazole is a PPI used to reduce NSAID-induced gastric side effects.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:44185|CHEBI:4875||MONDO:0008383,"['CHEBI:44185', 'CHEBI:4875']",MONDO:0008383,1,indications,"['Etanercept', 'Methotrexate']",rheumatoid arthritis,mechanistically_synergistic,0.95,False,Etanercept and Methotrexate are commonly used together to treat rheumatoid arthritis by targeting inflammatory pathways.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:27594|CHEBI:81916|DRUGBANK:DB14016||MONDO:0005281,"['CHEBI:27594', 'CHEBI:81916', 'DRUGBANK:DB14016']",MONDO:0005281,1,indications,"['Ox bile extract', 'Pancrelipase', 'Graphite']",gallbladder disorder,mechanistically_synergistic,0.85,True,Ox bile extract and pancrelipase both aid digestion and bile function relevant to gallbladder disorders; graphite's role is unclear but may be adjunctive.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
UNII:JSV288Q5CV|UNII:JSV288Q5CV||MONDO:0100130,"['UNII:JSV288Q5CV', 'UNII:JSV288Q5CV']",MONDO:0100130,1,indications,"['Famtozinameran', 'Famtozinameran']",adult acute respiratory distress syndrome,other,0.9,False,Same drug repeated; no combination mechanism or comorbidity implied.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
DRUGBANK:DB15654|DRUGBANK:DB17091||MONDO:0100130,"['DRUGBANK:DB15654', 'DRUGBANK:DB17091']",MONDO:0100130,1,indications,"['Davesomeran', 'Moderna COVID-19 Vaccine']",adult acute respiratory distress syndrome,other,0.6,True,"Both drugs are COVID-19 vaccines, not direct treatments for adult acute respiratory distress syndrome; unclear mechanistic synergy or side effect relief.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31206|CHEBI:52010|CHEBI:5551||MONDO:0025598,"['CHEBI:31206', 'CHEBI:52010', 'CHEBI:5551']",MONDO:0025598,1,indications,"['chlorphenamine', 'Guaifenesin', 'Ammonium chloride']",pneumonia caused by chlamydia,mechanistically_synergistic,0.85,False,"Chlorphenamine (antihistamine), Guaifenesin (expectorant), and Ammonium chloride (expectorant) collectively aid symptom relief and mucus clearance in pneumonia caused by chlamydia, targeting respiratory symptoms synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:28177|CHEBI:28939||MONDO:0002155,"['CHEBI:28177', 'CHEBI:28939']",MONDO:0002155,1,indications,"['Theophylline', 'Acetylcysteine']",cholecystitis,other,0.6,True,"Theophylline is a bronchodilator and Acetylcysteine is a mucolytic; neither directly targets cholecystitis mechanisms, and their combination is not a known standard treatment for cholecystitis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31498|CHEBI:81916||CHEBI:25805,"['CHEBI:31498', 'CHEBI:81916']",CHEBI:25805,1,indications,"['Dimethicone', 'Pancrelipase']",Oxygen,other,0.6,True,Dimethicone is an anti-foaming agent and Pancrelipase is a digestive enzyme; their combination is not clearly mechanistically synergistic or for side effect relief in oxygen-related conditions.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:46859|CHEBI:6456|UNII:FGL3685T2X||MONDO:0025598,"['CHEBI:46859', 'CHEBI:6456', 'UNII:FGL3685T2X']",MONDO:0025598,1,indications,"['Polidocanol', 'Chamomile', 'Lidocaine']",pneumonia caused by chlamydia,other,0.6,True,Polidocanol and Lidocaine are topical agents; Chamomile is herbal; no clear mechanistic synergy or side effect relief for pneumonia caused by chlamydia.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:26710|CHEBI:32139|CHEBI:32588||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32139', 'CHEBI:32588']",MONDO:0000440,1,indications,"['Sodium chloride', 'Potassium chloride', 'Sodium bicarbonate']",metabolic acidosis,mechanistically_synergistic,0.9,False,"All three drugs (sodium chloride, potassium chloride, sodium bicarbonate) are used to correct electrolyte imbalances and acid-base disturbances in metabolic acidosis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3510|CHEBI:48947||UMLS:C0041912,"['CHEBI:3510', 'CHEBI:48947']",UMLS:C0041912,1,indications,"['Ceftibuten', 'Clavulanic acid']",Upper Respiratory Infections,mechanistically_synergistic,0.95,False,Ceftibuten is an antibiotic and clavulanic acid is a beta-lactamase inhibitor; combined they target bacterial infections causing upper respiratory infections.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31498|CHEBI:31498|CHEBI:81916||NCIT:C34887,"['CHEBI:31498', 'CHEBI:31498', 'CHEBI:81916']",NCIT:C34887,1,indications,"['Pancrelipase', 'Dimethicone', 'Dimethicone']",Post-Operative Pain,other,0.6,True,"Pancrelipase is a digestive enzyme, Dimethicone is an anti-foaming agent; their combination for post-operative pain is unclear and not mechanistically synergistic or side-effect relief.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:26710|CHEBI:32588|CHEBI:34683|CHEBI:34683|CHEBI:78320||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32588', 'CHEBI:34683', 'CHEBI:34683', 'CHEBI:78320']",MONDO:0000440,1,indications,"['Sodium phosphate, dibasic', 'Potassium chloride', 'Sodium chloride', 'Lactic acid', 'Sodium phosphate, dibasic']",metabolic acidosis,mechanistically_synergistic,0.9,False,Electrolyte and acid-base agents collectively address metabolic acidosis by correcting acid-base and electrolyte imbalances.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3183|CHEBI:46195|CHEBI:5551|CHEBI:77032|CHEBI:8093||MONDO:0005709,"['CHEBI:3183', 'CHEBI:46195', 'CHEBI:5551', 'CHEBI:77032', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Acetaminophen', 'Brompheniramine', 'Bromhexine', 'Phenylephrine', 'Guaifenesin']",common cold,mechanistically_synergistic,0.9,False,"Drugs collectively target symptoms of common cold (pain, congestion, cough, mucus clearance).",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:52010|CHEBI:81717||MONDO:0005709,"['CHEBI:52010', 'CHEBI:81717']",MONDO:0005709,1,indications,"['chlorphenamine', 'Calcium levulinate']",common cold,other,0.6,True,"Chlorphenamine is an antihistamine used for cold symptoms; Calcium levulinate's role in common cold is unclear, no clear mechanistic synergy or side effect relief.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:4470|CHEBI:5551|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['Guaifenesin', 'Phenylpropanolamine', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.9,False,"All three drugs are commonly used together to treat symptoms of the common cold, targeting different symptoms synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
